epoch,loss
2.42,0.2715
2.43,0.4273
2.43,0.3934
2.43,0.3796
2.44,0.168
2.44,0.405
2.44,0.2241
2.44,0.3004
2.45,0.3054
2.45,0.3093
2.45,0.4112
2.45,0.2588
2.46,0.3504
2.46,0.3528
2.46,0.3493
2.46,0.3191
2.47,0.2482
2.47,0.3817
2.47,0.3948
2.47,0.3443
2.48,0.2849
2.48,0.3555
2.48,0.3217
2.49,0.2832
2.49,0.238
2.49,0.2625
2.49,0.3709
2.5,0.2948
2.5,0.3709
2.5,0.2405
2.5,0.2726
2.51,0.2785
2.51,0.4067
2.51,0.3898
2.51,0.3948
2.52,0.3693
2.52,0.402
2.52,0.3924
2.53,0.3303
2.53,0.2794
2.53,0.3634
2.53,0.3094
2.54,0.3663
2.54,0.3103
2.54,0.2291
2.54,0.4496
2.55,0.2432
2.55,0.3355
2.55,0.3666
2.55,0.3634
2.56,0.314
2.56,0.4104
2.56,0.5402
2.56,0.3557
2.57,0.4114
2.57,0.3362
2.57,0.4038
2.58,0.3641
2.58,0.3457
2.58,0.2925
2.58,0.2564
2.59,0.3589
2.59,0.3241
2.59,0.3148
2.59,0.3712
2.6,0.338
2.6,0.3654
2.6,0.2029
2.6,0.4324
2.61,0.4012
2.61,0.3906
2.61,0.2917
2.61,0.3999
2.62,0.3322
2.62,0.3984
2.62,0.2302
2.63,0.3077
2.63,0.3134
2.63,0.3377
2.63,0.4361
2.64,0.4587
2.64,0.3346
2.64,0.2925
2.64,0.3218
2.65,0.3594
2.65,0.2897
2.65,0.3082
2.65,0.3122
2.66,0.252
2.66,0.3857
2.66,0.2973
2.66,0.2357
2.67,0.5031
2.67,0.304
2.67,0.256
2.68,0.5753
2.68,0.3191
2.68,0.3326
2.68,0.3774
2.69,0.4726
2.69,0.3189
2.69,0.2745
2.69,0.3798
2.7,0.3151
2.7,0.2617
2.7,0.3185
2.7,0.6125
2.71,0.373
2.71,0.2852
2.71,0.3504
2.71,0.4292
2.72,0.3542
2.72,0.2676
2.72,0.413
2.73,0.4187
2.73,0.3306
2.73,0.3965
2.73,0.4107
2.74,0.3115
2.74,0.2732
2.74,0.3096
2.74,0.3095
2.75,0.3296
2.75,0.3965
2.75,0.4354
2.75,0.3111
2.76,0.4999
2.76,0.2704
2.76,0.4431
2.76,0.3107
2.77,0.24
2.77,0.3902
2.77,0.315
2.78,0.2199
2.78,0.3109
2.78,0.3498
2.78,0.4511
2.79,0.338
2.79,0.2865
2.79,0.3137
2.79,0.4997
