epoch,loss
1.26,0.2675
1.26,0.1197
1.26,0.2046
1.26,0.1764
1.26,0.2667
1.26,0.1528
1.26,0.1983
1.26,0.1476
1.27,0.1843
1.27,0.2189
1.27,0.1748
1.27,0.1319
1.27,0.1562
1.27,0.1614
1.27,0.1389
1.27,0.1255
1.27,0.1737
1.28,0.2392
1.28,0.1274
1.28,0.2234
1.28,0.2763
1.28,0.1694
1.28,0.2111
1.28,0.1832
1.28,0.1238
1.28,0.1843
1.28,0.2282
1.29,0.249
1.29,0.1934
1.29,0.2316
1.29,0.2464
1.29,0.176
1.29,0.2119
1.29,0.1264
1.29,0.1827
1.29,0.2059
1.3,0.2428
1.3,0.2215
1.3,0.114
1.3,0.2808
1.3,0.1699
1.3,0.2102
1.3,0.2653
1.3,0.2057
1.3,0.3966
1.3,0.2096
1.31,0.1671
1.31,0.2071
1.31,0.2508
1.31,0.1873
1.31,0.164
1.31,0.2222
1.31,0.2026
1.31,0.156
1.31,0.1496
1.32,0.2279
1.32,0.2345
1.32,0.1764
1.32,0.1623
1.32,0.1348
1.32,0.1505
1.32,0.2851
1.32,0.2496
1.32,0.1523
1.32,0.1578
1.33,0.2887
1.33,0.1954
1.33,0.1947
1.33,0.3962
1.33,0.1886
1.33,0.2263
1.33,0.1948
1.33,0.1457
1.33,0.1747
1.34,0.2326
1.34,0.1433
1.34,0.2896
1.34,0.1622
1.34,0.1736
1.34,0.1223
1.34,0.2386
1.34,0.2095
1.34,0.1484
1.34,0.191
1.35,0.2598
1.35,0.2124
1.35,0.1602
1.35,0.2643
1.35,0.176
1.35,0.116
1.35,0.1557
1.35,0.2384
1.35,0.318
1.36,0.2545
1.36,0.2183
1.36,0.3412
1.36,0.3817
1.36,0.2669
1.36,0.1044
1.36,0.1486
1.36,0.1939
1.36,0.3144
1.36,0.2519
1.37,0.224
1.37,0.3112
1.37,0.1823
1.37,0.2026
1.37,0.2218
1.37,0.2688
1.37,0.1281
1.37,0.1571
1.37,0.099
1.38,0.2441
1.38,0.2446
1.38,0.2408
1.38,0.2445
1.38,0.1671
1.38,0.2804
1.38,0.1689
1.38,0.1118
1.38,0.2007
1.38,0.1472
1.39,0.1721
1.39,0.279
1.39,0.1002
1.39,0.2018
1.39,0.1531
1.39,0.1478
1.39,0.1516
1.39,0.3789
1.39,0.0989
1.4,0.1816
1.4,0.1975
1.4,0.1472
1.4,0.2064
1.4,0.1475
1.4,0.1536
1.4,0.1886
1.4,0.1883
1.4,0.2721
1.4,0.1898
1.41,0.1047
1.41,0.2122
1.41,0.167
1.41,0.218
1.41,0.2224
1.41,0.1275
1.41,0.1659
1.41,0.1786
1.41,0.2466
1.42,0.0662
1.42,0.2072
1.42,0.2466
1.42,0.2603
1.42,0.2294
1.42,0.2082
1.42,0.2133
1.42,0.2102
1.42,0.2614
1.42,0.174
1.43,0.283
1.43,0.271
1.43,0.1923
1.43,0.2552
1.43,0.1817
1.43,0.2188
1.43,0.1698
1.43,0.2849
1.43,0.2708
1.44,0.1934
1.44,0.2514
1.44,0.182
1.44,0.1741
1.44,0.3
1.44,0.2423
1.44,0.1182
1.44,0.2864
1.44,0.1104
1.44,0.2109
1.45,0.4009
1.45,0.2656
1.45,0.3612
1.45,0.1303
1.45,0.1765
1.45,0.1823
1.45,0.2021
1.45,0.1654
1.45,0.2027
1.46,0.1602
1.46,0.1959
1.46,0.1505
1.46,0.1882
1.46,0.091
1.46,0.2129
1.46,0.171
1.46,0.3195
1.46,0.1297
1.46,0.191
1.47,0.1413
1.47,0.1433
1.47,0.1585
1.47,0.1326
1.47,0.1642
1.47,0.2827
1.47,0.1706
1.47,0.1333
1.47,0.1976
1.48,0.2534
1.48,0.2534
1.48,0.1812
1.48,0.223
1.48,0.1025
1.48,0.3219
1.48,0.1433
1.48,0.1853
1.48,0.2419
1.48,0.2359
1.49,0.2811
1.49,0.1962
1.49,0.1299
1.49,0.1853
1.49,0.2884
1.49,0.2177
1.49,0.2549
1.49,0.2132
1.49,0.2144
1.5,0.176
1.5,0.2196
1.5,0.3182
1.5,0.2406
1.5,0.2164
1.5,0.2601
1.5,0.1725
1.5,0.2311
1.5,0.2155
1.51,0.2445
1.51,0.1997
1.51,0.1824
1.51,0.1947
1.51,0.2645
1.51,0.1751
1.51,0.1612
1.51,0.2603
1.51,0.1773
1.51,0.1139
1.52,0.2141
1.52,0.2623
1.52,0.1658
1.52,0.1455
1.52,0.1711
1.52,0.2049
1.52,0.1685
1.52,0.2631
1.52,0.1854
1.53,0.1636
1.53,0.3281
1.53,0.2117
1.53,0.0929
1.53,0.3782
1.53,0.1389
1.53,0.2059
1.53,0.1753
1.53,0.1958
1.53,0.1059
1.54,0.1598
1.54,0.2363
1.54,0.1929
1.54,0.1729
1.54,0.0933
1.54,0.2059
1.54,0.2427
1.54,0.1579
1.54,0.3133
1.55,0.2315
1.55,0.0954
1.55,0.3456
1.55,0.1598
1.55,0.2919
1.55,0.1624
1.55,0.3115
1.55,0.1611
1.55,0.209
1.55,0.2492
1.56,0.1515
1.56,0.2297
1.56,0.1651
1.56,0.2602
1.56,0.2011
1.56,0.2194
1.56,0.2162
1.56,0.1477
1.56,0.2784
1.57,0.2419
1.57,0.0908
1.57,0.189
1.57,0.1556
1.57,0.1853
1.57,0.1253
1.57,0.1903
1.57,0.1607
1.57,0.2437
1.57,0.1853
1.58,0.0845
1.58,0.1685
1.58,0.1558
1.58,0.1181
1.58,0.2163
1.58,0.2164
1.58,0.1799
1.58,0.1985
1.58,0.1027
1.59,0.2009
1.59,0.2127
1.59,0.2416
1.59,0.18
1.59,0.2752
1.59,0.3122
1.59,0.1612
1.59,0.1652
1.59,0.1431
1.59,0.2577
1.6,0.2715
1.6,0.0686
1.6,0.3144
1.6,0.158
1.6,0.151
1.6,0.2904
1.6,0.2546
1.6,0.1888
1.6,0.1745
1.61,0.3198
1.61,0.3514
1.61,0.2689
1.61,0.1848
1.61,0.1893
1.61,0.2445
1.61,0.2235
1.61,0.3024
1.61,0.2261
1.61,0.2467
1.62,0.3576
1.62,0.1837
1.62,0.1924
1.62,0.1456
1.62,0.2615
1.62,0.2222
1.62,0.232
1.62,0.2111
1.62,0.1095
1.63,0.2195
1.63,0.1146
1.63,0.1659
1.63,0.1647
1.63,0.1821
1.63,0.2262
1.63,0.1559
1.63,0.1498
1.63,0.2089
1.63,0.2654
1.64,0.1681
1.64,0.2196
1.64,0.1341
1.64,0.2186
1.64,0.1907
1.64,0.1901
1.64,0.1965
1.64,0.1482
1.64,0.2296
1.65,0.1168
1.65,0.165
1.65,0.3084
1.65,0.2302
1.65,0.1222
1.65,0.1971
1.65,0.1162
1.65,0.1496
